Branch_ID,Branch_Code,Branch_Name,Region,State,City,Address,IFSC_Code,Branch_Type,Manager_ID,Status,Open_Date,Last_Updated_TS
BR1001,1001,Chandigarh Branch,North,Chandigarh,Chandigarh,"524 Main Road, Chandigarh",CBNK0001001,Retail,EMP39266,Closed,2022-07-26,2026-07-10 20:05:26.351242
BR1002,1002,Patna Branch,East,Bihar,Patna,"461 Main Road, Patna",CBNK0001002,Corporate,EMP10332,Closed,2007-02-10,2026-07-10 20:05:26.351300
BR1003,1003,Chandigarh Branch,North,Chandigarh,Chandigarh,"21 Main Road, Chandigarh",CBNK0001003,Digital,EMP99048,Active,2011-07-09,2026-07-10 20:05:26.351318
BR1004,1004,Pune Branch,West,Maharashtra,Pune,"834 Main Road, Pune",CBNK0001004,Digital,EMP77316,Active,2015-02-18,2026-07-10 20:05:26.351337
BR1005,1005,Pune Branch,West,Maharashtra,Pune,"478 Main Road, Pune",CBNK0001005,Corporate,EMP94514,Closed,2014-01-28,2026-07-10 20:05:26.351351
BR1006,1006,Pune Branch,West,Maharashtra,Pune,"482 Main Road, Pune",CBNK0001006,Digital,EMP21886,Active,2022-08-28,2026-07-10 20:05:26.351365
BR1007,1007,Chandigarh Branch,North,Chandigarh,Chandigarh,"528 Main Road, Chandigarh",CBNK0001007,Digital,EMP62186,Closed,2013-07-19,2026-07-10 20:05:26.351383
BR1008,1008,Patna Branch,East,Bihar,Patna,"540 Main Road, Patna",CBNK0001008,Retail,EMP85434,Active,2009-01-23,2026-07-10 20:05:26.351399
BR1009,1009,Lucknow Branch,North,Uttar Pradesh,Lucknow,"647 Main Road, Lucknow",CBNK0001009,Digital,EMP71609,Active,2020-04-28,2026-07-10 20:05:26.351413
BR1010,1010,Lucknow Branch,North,Uttar Pradesh,Lucknow,"727 Main Road, Lucknow",CBNK0001010,Digital,EMP98382,Active,2022-05-18,2026-07-10 20:05:26.351428
BR1011,1011,Patna Branch,East,Bihar,Patna,"325 Main Road, Patna",CBNK0001011,Digital,EMP62684,Active,2011-05-27,2026-07-10 20:05:26.351447
BR1012,1012,Mumbai Branch,West,Maharashtra,Mumbai,"43 Main Road, Mumbai",CBNK0001012,Corporate,EMP95936,Closed,2019-09-16,2026-07-10 20:05:26.351460
BR1013,1013,Mumbai Branch,West,Maharashtra,Mumbai,"276 Main Road, Mumbai",CBNK0001013,Digital,EMP71165,Closed,2020-07-18,2026-07-10 20:05:26.351473
BR1014,1014,Chandigarh Branch,North,Chandigarh,Chandigarh,"334 Main Road, Chandigarh",CBNK0001014,Digital,EMP22894,Active,2021-05-15,2026-07-10 20:05:26.351487
BR1015,1015,Bangalore Branch,South,Karnataka,Bangalore,"872 Main Road, Bangalore",CBNK0001015,Digital,EMP18427,Active,2020-06-04,2026-07-10 20:05:26.351516
BR1016,1016,Chennai Branch,South,Tamil Nadu,Chennai,"887 Main Road, Chennai",CBNK0001016,Digital,EMP29183,Active,2005-02-01,2026-07-10 20:05:26.351528
BR1017,1017,Patna Branch,East,Bihar,Patna,"569 Main Road, Patna",CBNK0001017,Retail,EMP89971,Active,2012-02-20,2026-07-10 20:05:26.351556
BR1018,1018,Lucknow Branch,North,Uttar Pradesh,Lucknow,"989 Main Road, Lucknow",CBNK0001018,Regional,EMP97618,Active,2009-01-11,2026-07-10 20:05:26.351569
BR1019,1019,Patna Branch,East,Bihar,Patna,"747 Main Road, Patna",CBNK0001019,Corporate,EMP81539,Active,2020-10-05,2026-07-10 20:05:26.351583
BR1020,1020,Mumbai Branch,West,Maharashtra,Mumbai,"437 Main Road, Mumbai",CBNK0001020,Corporate,EMP27740,Closed,2014-09-14,2026-07-10 20:05:26.351597
BR1021,1021,Kolkata Branch,East,West Bengal,Kolkata,"542 Main Road, Kolkata",CBNK0001021,Corporate,EMP59283,Active,2008-07-03,2026-07-10 20:05:26.351613
BR1022,1022,Chandigarh Branch,North,Chandigarh,Chandigarh,"671 Main Road, Chandigarh",CBNK0001022,Regional,EMP13380,Active,2021-08-11,2026-07-10 20:05:26.351627
BR1023,1023,Pune Branch,West,Maharashtra,Pune,"343 Main Road, Pune",CBNK0001023,Retail,EMP75217,Active,2010-03-19,2026-07-10 20:05:26.351657
BR1024,1024,Bangalore Branch,South,Karnataka,Bangalore,"648 Main Road, Bangalore",CBNK0001024,Regional,EMP70138,Closed,2012-11-23,2026-07-10 20:05:26.351670
BR1025,1025,Lucknow Branch,North,Uttar Pradesh,Lucknow,"418 Main Road, Lucknow",CBNK0001025,Retail,EMP35623,Active,2006-11-18,2026-07-10 20:05:26.351682
BR1026,1026,Chandigarh Branch,North,Chandigarh,Chandigarh,"898 Main Road, Chandigarh",CBNK0001026,Corporate,EMP73417,Active,2009-11-17,2026-07-10 20:05:26.351712
BR1027,1027,Chennai Branch,South,Tamil Nadu,Chennai,"926 Main Road, Chennai",CBNK0001027,Corporate,EMP31022,Active,2017-05-14,2026-07-10 20:05:26.351725
BR1028,1028,Kolkata Branch,East,West Bengal,Kolkata,"402 Main Road, Kolkata",CBNK0001028,Regional,EMP34536,Active,2010-05-15,2026-07-10 20:05:26.351737
